Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.380449295043945,24.397789586149948,24.27640754840791,24.397789586149948,1003200
1993-02-01,24.553848266601562,24.553848266601566,24.397785671686723,24.397785671686723,480500
1993-02-02,24.605871200561523,24.623211490343454,24.484489172087997,24.536510041433793,201300
1993-02-03,24.865957260131836,24.883297537161216,24.623193381720505,24.640533658749888,529400
1993-02-04,24.97002410888672,25.022044992446897,24.675239102045694,24.952683814366655,531500
1993-02-05,24.952672958374023,25.004693819301835,24.813950662566523,24.952672958374023,492100
1993-02-08,24.952672958374023,25.039374393253713,24.91799238442215,24.952672958374023,596100
1993-02-09,24.779279708862305,24.865981177402762,24.72725882773803,24.865981177402762,122100
1993-02-10,24.813940048217773,24.831280327776277,24.709898370866757,24.779259489100767,379600
1993-02-11,24.93531608581543,25.039357738468347,24.848614708604668,24.848614708604668,19500
1993-02-12,24.744585037231445,24.900647591776004,24.744585037231445,24.900647591776004,42500
1993-02-16,24.12033462524414,24.675223703610648,24.085654057846234,24.675223703610648,374800
1993-02-17,24.103002548217773,24.15502341702688,24.016301100202604,24.12034283782081,210900
1993-02-18,24.08565902709961,24.380443910800615,23.75619356884555,24.380443910800615,378100
1993-02-19,24.17236328125,24.17236328125,24.050981256164814,24.085661834760582,34900
1993-02-22,24.259065628051758,24.293746207934607,24.17236417834464,24.241725338110335,513600
1993-02-23,24.241710662841797,24.345752339506355,24.120328706733147,24.328412060062263,373700
1993-02-24,24.553848266601562,24.553848266601566,24.259063365095756,24.259063365095756,26300
1993-02-25,24.605871200561523,24.623211490343454,24.484489172087997,24.536510041433793,44500
1993-02-26,24.64053726196289,24.65787754152796,24.519155305007406,24.65787754152796,66200
1993-03-01,24.571176528930664,24.727239047463037,24.5364959692568,24.727239047463037,66500
1993-03-02,24.93531608581543,24.93531608581543,24.553830026088075,24.58851057697238,182400
1993-03-03,25.039369583129883,25.056709866774707,24.93532788126092,24.970008448550573,280100
1993-03-04,24.900659561157227,25.074062482892305,24.90065956115723,25.074062482892305,89500
1993-03-05,24.831289291381836,25.039372721197882,24.81394900556383,24.93533100628986,40000
1993-03-08,25.386186599731445,25.386186599731445,24.88331814932693,24.88331814932693,50800
1993-03-09,25.299488067626953,25.35150894782084,25.247467187433067,25.33416865442288,169300
1993-03-10,25.351491928100586,25.351491928100586,25.195429392291487,25.299471082830888,194400
1993-03-11,25.28213119506836,25.43819373330952,25.247450631014765,25.368832605202336,70900
1993-03-12,25.022024154663086,25.09138527498093,24.86596163394793,25.07404499490147,643600
1993-03-15,25.143409729003906,25.143409729003906,25.00468746843009,25.00468746843009,310800
1993-03-16,25.143409729003906,25.212770859290814,25.143409729003906,25.143409729003906,30800
1993-03-17,24.987348556518555,25.108730541178954,24.95266798947273,25.108730541178954,21800
1993-03-18,25.143409729003906,25.247451424434267,25.091388881288726,25.091388881288726,59300
1993-03-19,25.1053466796875,25.244724038075773,25.1053466796875,25.244724038075773,66900
1993-03-22,24.96597671508789,25.018243239962462,24.844021490380552,24.86144366533874,183400
1993-03-23,25.018245697021484,25.053090050359952,24.983401343683013,25.035667873690716,55200
1993-03-24,25.018245697021484,25.122778757036894,24.86144610699837,24.983401343683013,37200
1993-03-25,25.175065994262695,25.227332567261165,25.0008440842678,25.03568846626678,110100
1993-03-26,25.035690307617188,25.175067845864184,25.018268115336312,25.15764565358331,101500
1993-03-29,25.140209197998047,25.262164474772813,25.053098286016073,25.053098286016073,87100
1993-03-30,25.209888458251953,25.209888458251953,25.140199754842826,25.17504410654739,56000
1993-03-31,25.19247055053711,25.349270159772818,25.19247055053711,25.27958144455695,111600
1993-04-01,25.1053466796875,25.227301868277237,25.0530801702919,25.227301868277237,129500
1993-04-02,24.582700729370117,24.896300029957406,24.582700729370117,24.896300029957406,59400
1993-04-05,24.704648971557617,24.774337685158628,24.63496025795661,24.774337685158628,172200
1993-04-06,24.63496971130371,24.756925006904222,24.565280970960558,24.756925006904222,129700
1993-04-07,24.722082138061523,24.722082138061523,24.617549021198684,24.669815579630104,28000
1993-04-08,24.68722915649414,24.82660659703892,24.582696076085558,24.82660659703892,180800
1993-04-12,25.035690307617188,25.05311249989806,24.896312769370187,24.931157153931935,348500
1993-04-13,25.087947845458984,25.175058775477936,25.000836915440026,25.018259101443817,146100
1993-04-14,25.05309295654297,25.12278167130387,25.035670777852744,25.105359492613644,119600
1993-04-15,25.05309295654297,25.105359492613644,24.94855988440162,25.035670777852744,148600
1993-04-16,25.05309295654297,25.105359492613644,25.01824859916252,25.070515135233194,47900
1993-04-19,24.948564529418945,25.122786348758464,24.931142347484997,25.05309762102266,157000
1993-04-20,24.826602935791016,24.94855817828262,24.66980333830181,24.91371382328502,279500
1993-04-21,24.80919647216797,24.878885226303275,24.739507718032666,24.878885226303275,67900
1993-04-22,24.495582580566406,24.913714857901823,24.495582580566406,24.704648719234115,97700
1993-04-23,24.391050338745117,24.513005590438844,24.35620598111834,24.443316875185285,106000
1993-04-26,24.19940948486328,24.495586562791775,24.129720760644815,24.40847565751869,62600
1993-04-27,24.46073341369629,24.46073341369629,24.16455644216293,24.16455644216293,156800
1993-04-28,24.408477783203125,24.478166513490645,24.373633418059367,24.425899965775006,85900
1993-04-29,24.513011932373047,24.513011932373047,24.32136791584419,24.460745382410632,85000
1993-04-30,24.547863006591797,24.687240511242422,24.547863006591793,24.60012957083578,88500
1993-05-03,24.704648971557617,24.704648971557617,24.47816065235434,24.582693722755852,80500
1993-05-04,24.791751861572266,24.87886272545692,24.722063170464544,24.756907516018405,149100
1993-05-05,24.8614559173584,24.948566835078648,24.791767183182202,24.791767183182202,109000
1993-05-06,24.77434730529785,24.84403604595973,24.75692512013238,24.826613860794257,54700
1993-05-07,24.722082138061523,24.79177088263675,24.68723776577391,24.79177088263675,68000
1993-05-10,24.77434730529785,24.913724786621607,24.75692512013238,24.75692512013238,113900
1993-05-11,24.87887954711914,24.878879547119144,24.70465770155108,24.774346439778306,42600
1993-05-12,24.84402847290039,24.861450652755156,24.774339753481314,24.774339753481314,31000
1993-05-13,24.547863006591797,24.739507075486408,24.530440818510467,24.739507075486408,129100
1993-05-14,24.53043556213379,24.61754648387432,24.513013377785683,24.547857746481895,63500
1993-05-17,24.61754608154297,24.61754608154297,24.49559079309937,24.600123897479598,34000
1993-05-18,24.600116729736328,24.652383266697523,24.513005834801,24.634961087710458,105200
1993-05-19,25.1053466796875,25.1053466796875,24.44330422734321,24.600103755530014,50200
1993-05-20,25.175065994262695,25.175065994262695,25.05311065726627,25.105377230264736,98200
1993-05-21,24.948564529418945,25.227319440362177,24.931142347484997,25.192475076494272,221400
1993-05-24,25.05309295654297,25.14020384999409,25.000826420472297,25.000826420472297,30500
1993-05-25,25.1053466796875,25.1576131890831,25.1053466796875,25.1576131890831,191800
1993-05-26,25.4189510345459,25.43637320797602,25.15761843309409,25.17504060652421,102400
1993-05-27,25.331850051879883,25.453805313477652,25.297005691423376,25.453805313477652,53800
1993-05-28,25.209888458251953,25.314421513365645,25.08793322728598,25.314421513365645,79100
1993-06-01,25.453819274902344,25.54093022382398,25.262175187274742,25.2970195668434,28300
1993-06-02,25.4189510345459,25.5060619016965,25.279573647104932,25.384106687685655,20300
1993-06-03,25.331850051879883,25.366694412336386,25.27958351119512,25.366694412336386,21600
1993-06-04,25.244741439819336,25.262163621627355,25.14020834897122,25.262163621627355,32000
1993-06-07,25.157630920410156,25.297008377032927,25.157630920410156,25.297008377032927,121400
1993-06-08,24.93113899230957,25.087938608613403,24.93113899230957,25.087938608613403,104500
1993-06-09,25.018245697021484,25.122778757036894,24.983401343683013,25.01824569702148,43300
1993-06-10,25.035690307617188,25.05311249989806,24.94857934621281,25.000845923055437,17900
1993-06-11,25.140209197998047,25.175053562790836,25.03567610361968,25.122787015601652,647400
1993-06-14,25.1053466796875,25.19245752868017,25.1053466796875,25.175035358881637,64200
1993-06-15,25.05309295654297,25.157626028684316,25.05309295654297,25.14020384999409,142400
1993-06-16,25.1053466796875,25.1053466796875,24.983391491097763,25.0530801702919,330900
1993-06-17,25.19247055053711,25.19247055053711,25.105359656517273,25.157626192929175,37400
1993-06-18,24.98501205444336,25.17801425430212,24.985012054443356,25.17801425430212,58500
1993-06-21,25.037641525268555,25.055187174550454,25.00255022670476,25.055187174550454,29300
1993-06-22,25.05520248413086,25.072748144133755,25.020111164125076,25.072748144133755,137500
1993-06-23,24.827106475830078,25.055200033558553,24.827106475830078,25.055200033558553,227600
1993-06-24,25.160470962524414,25.160470962524414,24.897286119820183,24.897286119820183,243700
1993-06-25,25.142921447753906,25.213104061704374,25.125375794266294,25.14292144775391,44800
1993-06-28,25.42366600036621,25.423666000366214,25.23066370498731,25.26575503141984,439900
1993-06-29,25.300827026367188,25.38855527541839,25.265735726746705,25.38855527541839,207500
1993-06-30,25.300827026367188,25.38855527541839,25.265735726746705,25.335918325987667,437600
1993-07-01,25.23065185546875,25.33592578532467,25.195560545516773,25.33592578532467,605700
1993-07-02,25.090290069580078,25.160472699145338,25.002561782623506,25.142927041754024,285400
1993-07-06,24.827106475830078,25.125382666705775,24.79201515925647,25.055200033558553,246400
1993-07-07,24.897289276123047,24.93238059293224,24.80956098410006,24.80956098410006,343700
1993-07-08,25.17801284790039,25.23064980855802,24.879736737507145,24.914828044612232,248200
1993-07-09,25.248214721679688,25.248214721679688,25.125395053123913,25.17803205393353,378200
1993-07-12,25.23065185546875,25.248197510444733,25.178014890540787,25.21310620049276,373700
1993-07-13,25.213106155395508,25.318380085063133,25.07274091583868,25.248197465284715,389600
1993-07-14,25.300827026367188,25.37100962560815,25.21309877731598,25.230644427126222,617300
1993-07-15,25.1955509185791,25.283279159939056,25.14291397376313,25.283279159939056,443800
1993-07-16,25.125383377075195,25.230657329772438,25.090292059509448,25.213111670989566,216400
1993-07-19,25.10783576965332,25.125381427074462,25.037653139968757,25.125381427074462,188200
1993-07-20,25.17801284790039,25.178012847900387,24.96746500526986,25.09028458013767,68500
1993-07-21,25.160470962524414,25.160470962524414,25.072742681623005,25.142925306344132,142700
1993-07-22,24.98501205444336,25.160468599769505,24.985012054443356,25.125377290704275,632400
1993-07-23,25.10783576965332,25.10783576965332,25.020107482547616,25.037653139968757,286200
1993-07-26,25.248214721679688,25.300851722489305,25.17803205393353,25.17803205393353,121300
1993-07-27,25.23065185546875,25.283288820396706,25.142923580588814,25.26574316542072,92800
1993-07-28,25.17801284790039,25.23064980855802,25.1429215407953,25.178012847900387,30800
1993-07-29,25.318395614624023,25.388578277450424,25.195575954677825,25.230667286091023,331000
