Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2003-09-29,51.40278625488281,51.46819306043303,51.36756868205868,51.46316088190742,13600
2003-09-30,51.669410705566406,51.6895355721136,51.4631375407028,51.46816971694606,62600
2003-10-01,51.64422607421875,51.694536290758634,51.61906904673706,51.639193901037714,66300
2003-10-02,51.563758850097656,51.64425831755893,51.322268124565596,51.41785644414351,68900
2003-10-03,51.19146728515625,51.342401893603494,51.1663102376062,51.342401893603494,64500
2003-10-06,51.26695251464844,51.31223060995797,51.116017853427536,51.13614273081885,28700
2003-10-07,51.09085464477539,51.287067362936746,51.00532297298092,51.287067362936746,13000
2003-10-08,51.21660614013672,51.34238365635668,50.95498675688111,51.060639409894854,42700
2003-10-09,51.0355224609375,51.06570785797533,50.86446292139133,51.010365404454035,35900
2003-10-10,51.31726837158203,51.34242543066491,51.15627317336518,51.15627317336518,13500
2003-10-13,51.09085464477539,51.367563018333314,51.09085464477538,51.31725275390706,23700
2003-10-14,50.990203857421875,51.11094919716728,50.8845512053415,51.035485758842114,54300
2003-10-15,50.864437103271484,50.934872219559765,50.763816605267074,50.90468683784363,23100
2003-10-16,50.72859191894531,51.09083180234222,50.58772170616327,51.010332344509386,62300
2003-10-17,50.97011184692383,50.97011184692383,50.68837125978168,50.83427373195961,55600
2003-10-20,50.93990707397461,51.0505919306539,50.88456464563497,50.88456464563497,12900
2003-10-21,51.04054260253906,51.181416722417936,51.010357210350094,51.010357210350094,49000
2003-10-22,51.26695251464844,51.29210573256666,51.070739758117995,51.19148518403799,25400
2003-10-23,51.14113998413086,51.251824814979514,51.14113998413085,51.23672828842494,20700
2003-10-24,51.39271926879883,51.39271926879883,51.21663142683774,51.21663142683774,28200
2003-10-27,51.29206466674805,51.37759628678915,51.21660123498355,51.33734656423155,35400
2003-10-28,51.493316650390625,51.493316650390625,51.216608405522614,51.216608405522614,16600
2003-10-29,51.26695251464844,51.36757306317711,51.26695251464843,51.35751254369539,71700
2003-10-30,51.26695251464844,51.29713791152146,51.2065778824745,51.2116100614293,17300
2003-10-31,51.1864128112793,51.26691225763286,51.01535724541526,51.26691225763286,31000
2003-11-03,51.095008850097656,51.20608557596561,51.09500885009765,51.16064719830094,56700
2003-11-04,51.19602966308594,51.28691034182825,51.19602966308594,51.22127194205844,26900
2003-11-05,51.19602966308594,51.28186034522624,51.19602966308594,51.24651807304972,24600
2003-11-06,50.91836166381836,51.09002696114408,50.91836166381836,51.084976962158464,78000
2003-11-07,50.943580627441406,50.943580627441406,50.76686927742923,50.8375538174341,33400
2003-11-10,51.03952407836914,51.06477021603497,50.948647227619624,51.0344779324518,21100
2003-11-11,50.94864273071289,51.09505798978828,50.89815045983785,51.08496184682494,23700
2003-11-12,51.044517517089844,51.1656903691783,50.898098555309176,51.01422526707161,16400
2003-11-13,51.418128967285156,51.4534750567861,51.26161389442094,51.26161389442094,25400
2003-11-14,51.458580017089844,51.57975684299649,51.44343387685636,51.458580017089844,18800
2003-11-17,51.67566680908203,51.71100907542695,51.58983614110412,51.61003227216095,48800
2003-11-18,51.650447845458984,51.67569013165892,51.52422485839973,51.564613286723585,26800
2003-11-19,51.408077239990234,51.65042697209253,51.40807723999023,51.64032698007835,44900
2003-11-20,51.58477783203125,51.630220082590256,51.46865491219132,51.49894717788565,21400
2003-11-21,51.64031219482422,51.72109669973483,51.604969936930125,51.670604458157094,66500
2003-11-24,51.42323303222656,51.569652127780216,51.42323303222656,51.544405995022366,37000
2003-11-25,51.62519454956055,51.625194549560554,51.38789475046686,51.38789475046686,54000
2003-11-26,51.438358306884766,51.56963121034501,51.43835830688476,51.539338944937825,25300
2003-11-28,51.35763168334961,51.37277783198892,51.35763168334962,51.37277783198892,22900
2003-12-01,51.21683120727539,51.29276876752863,51.13077044141595,51.206708001669185,58700
2003-12-02,51.201637268066406,51.206700801329895,50.928264407001464,51.04976216891559,52100
2003-12-03,51.252281188964844,51.30796848975165,51.080159613693404,51.080159613693404,32400
2003-12-04,51.32820510864258,51.38389239460954,51.15608357917723,51.20164379732581,25200
2003-12-05,51.58640670776367,51.58640670776367,51.38897131199408,51.58134317233869,42200
2003-12-08,51.58640670776367,51.65728075432989,51.54084261363061,51.63196693955087,67200
2003-12-09,51.29787826538086,51.687685759183424,51.23712739027538,51.65731225280479,87900
2003-12-10,51.50031661987305,51.51043982261827,51.43450228382627,51.505376290073826,120500
2003-12-11,51.682613372802734,51.70792719868344,51.33330652220384,51.429490563385905,91600
2003-12-12,51.71297836303711,51.809162381205354,51.611726946088126,51.75853860390418,16400
2003-12-15,51.682613372802734,51.76361452574295,51.56111550573998,51.73830069986225,21100
2003-12-16,51.71297836303711,51.73322864642691,51.58641698861086,51.68766454321321,61500
2003-12-17,51.83955764770508,51.91549527106613,51.71805976773618,51.85980793809122,23100
2003-12-18,51.91546630859375,51.96102653978457,51.74334086751041,51.864838679698416,33400
2003-12-19,51.9408073425293,51.9408073425293,51.819309457635896,51.91043383689298,26500
2003-12-22,51.91546630859375,52.04202765614044,51.77371435497096,51.98634035423223,139700
2003-12-23,51.71297836303711,51.890163514764545,51.71297836303711,51.83447620102926,80300
2003-12-24,51.75343704223633,51.88505798422027,51.6926862412367,51.809120448556605,16200
2003-12-26,52.011634826660156,52.01163482666015,51.79394921917347,51.93569726826347,54500
2003-12-29,51.885093688964844,51.94078099594987,51.71803563035594,51.89015722478516,37600
2003-12-30,51.788917541503906,51.834477783762125,51.67754291063259,51.783854004915185,33800
2003-12-31,51.86051940917969,51.86051940917969,51.78436515633537,51.78436515633537,51900
2004-01-02,51.566036224365234,51.88080519340643,51.454343884596916,51.86049714314269,26100
2004-01-05,51.626976013183594,51.62697601318359,51.42897730484313,51.55082176996825,63600
2004-01-06,51.86051940917969,51.880827468162586,51.662520675804174,51.753905004544116,151800
2004-01-07,51.977230072021484,52.01276816872453,51.86046370000948,51.88584584144764,75200
2004-01-08,51.962005615234375,52.03815979448416,51.84523923063217,51.88585143598459,39800
2004-01-09,52.39356231689453,52.42910043202428,52.24633574947418,52.36310218203019,49800
2004-01-12,52.2463493347168,52.418961974983354,52.241271353131,52.393575940419424,67600
2004-01-13,52.36821365356445,52.383443730736786,52.24129117930636,52.31236745502157,21700
2004-01-14,52.363128662109375,52.413896870344814,52.31743843670727,52.31743843670727,14100
2004-01-15,52.4290885925293,52.46970467875256,52.29201414322975,52.46970467875256,32600
2004-01-16,52.388511657714844,52.571280295431436,52.34281756160281,52.495126050821895,66800
2004-01-20,52.34282302856445,52.439285340035966,52.256516683230046,52.383439146380475,51700
2004-01-21,52.37832260131836,52.439246733188796,52.29709429885444,52.43416875385876,53800
2004-01-22,52.469730377197266,52.56619266088169,52.43419225268696,52.48496044864953,44100
2004-01-23,52.34282302856445,52.69313026633682,52.29205481797752,52.68805228326828,28700
2004-01-26,52.139713287353516,52.33771189458581,52.139713287353516,52.3326377880974,31900
2004-01-27,52.21587371826172,52.368182145078286,52.19049156270176,52.23110378627054,20200
2004-01-28,52.10927200317383,52.49511727086019,51.89604325262287,52.36311686050549,63000
2004-01-29,51.98744201660156,52.05851828655521,51.936673805686986,52.05851828655521,50600
2004-01-30,52.08897399902344,52.20574436020453,52.038205792435704,52.20574436020453,105300
2004-02-02,52.10318374633789,52.26608558460625,52.10318374633789,52.199908047895605,21300
2004-02-03,52.245731353759766,52.32209245317958,52.133739476349135,52.32209245317958,40300
2004-02-04,52.25082015991211,52.27627515290101,52.11337329587729,52.2711833775259,37600
2004-02-05,52.10318374633789,52.26099769370356,52.04209798441612,52.23045092885649,38900
2004-02-06,52.31703567504883,52.32212745411946,52.20504372272107,52.25085808268841,31600
2004-02-09,52.35264587402344,52.434098765498035,52.28137653592697,52.39846409644981,15800
2004-02-10,52.24063491821289,52.372989992748394,52.20500026216315,52.372989992748394,31300
